t1,t2,q
37.66453946,37.65802651,-2.132013047
37.65802651,37.65173377,-2.132412626
37.65173377,37.6454374,-2.133015082
37.6454374,37.63921565,-2.133539646
37.63921565,37.63307048,-2.134055148
37.63307048,37.62833206,-2.133233185
37.62833206,37.62338424,-2.133893498
37.62338424,37.61861305,-2.13418772
37.61861305,37.61382156,-2.134662059
37.61382156,37.60900506,-2.135143045
37.60900506,37.60433098,-2.135458974
37.60433098,37.59965428,-2.13590639
37.59965428,37.59503381,-2.1362952
37.59503381,37.59043969,-2.136708549
37.59043969,37.58588675,-2.137104569
37.58588675,37.58135864,-2.137512994
37.58135864,37.57686953,-2.137904906
37.57686953,37.57241954,-2.13829298
37.57241954,37.56799896,-2.138687042
37.56799896,37.56361381,-2.139072294
37.56361381,37.55926024,-2.139458011
37.55926024,37.55383084,-2.14094813
37.55383084,37.54963316,-2.140233093
37.54963316,37.54451218,-2.141555859
37.54451218,37.54064511,-2.140789267
37.54064511,37.53491191,-2.143023399
37.53491191,37.52998776,-2.142759942
37.52998776,37.52584763,-2.142444513
37.52584763,37.52177059,-2.142775399
37.52177059,37.51640366,-2.14445328
37.51640366,37.51177351,-2.144227229
37.51177351,37.50747548,-2.14433573
37.50747548,37.50366623,-2.144255962
37.50366623,37.49903474,-2.145440698
37.49903474,37.49453258,-2.145752108
37.49453258,37.48965375,-2.146557212
37.48965375,37.48498394,-2.146812483
37.48498394,37.48154227,-2.146028728
37.48154227,37.47767599,-2.146780863
37.47767599,37.47405562,-2.146902871
37.47405562,37.46982589,-2.147856761
37.46982589,37.46639596,-2.147459469
37.46639596,37.46150338,-2.149248521
37.46150338,37.45843536,-2.147889554
37.45843536,37.45465959,-2.148889261
37.45465959,37.45114766,-2.148984737
37.45114766,37.44759897,-2.149355703
37.44759897,37.44417134,-2.149572339
37.44417134,37.44034243,-2.1502998
37.44034243,37.43709855,-2.150079141
37.43709855,37.43360951,-2.150633003
37.43360951,37.43019351,-2.150891986
37.43019351,37.42689345,-2.151101119
37.42689345,37.42349071,-2.151517844
37.42349071,37.42026461,-2.151665008
37.42026461,37.41696648,-2.152044058
37.41696648,37.41365692,-2.152369335
37.41365692,37.41028768,-2.152743961
37.41028768,37.40718332,-2.152799717
37.40718332,37.40363972,-2.153534366
37.40363972,37.40062217,-2.153345541
37.40062217,37.3974802,-2.153757112
37.3974802,37.39441532,-2.153979018
37.39441532,37.3913174,-2.154303733
37.3913174,37.38826517,-2.154552835
37.38826517,37.38523506,-2.15482118
